Post_ID,Hashtag,Region,Views,Likes,Shares,Comments,Engagement_Level,Platform_TikTok,Platform_Twitter,Platform_YouTube,Content_Type_Post,Content_Type_Reel,Content_Type_Shorts,Content_Type_Tweet,Content_Type_Video,Engagement_Label
Post_1,#Challenge,UK,4163464,339431,53135,19346,High,True,False,False,False,False,False,False,True,1
Post_2,#Education,India,4155940,215240,65860,27239,Medium,False,False,False,False,False,True,False,False,0
Post_3,#Challenge,Brazil,3666211,327143,39423,36223,Medium,False,True,False,False,False,False,False,True,1
Post_4,#Education,Australia,917951,127125,11687,36806,Low,False,False,True,False,False,True,False,False,0
Post_5,#Dance,Brazil,64866,171361,69581,6376,Medium,True,False,False,True,False,False,False,False,0
Post_6,#Challenge,Australia,1323566,136282,86979,47129,Low,False,False,False,False,False,True,False,False,0
Post_7,#Comedy,Japan,627233,84121,97973,32648,Medium,False,False,True,False,False,False,True,False,0
Post_8,#Gaming,UK,2066886,317502,45222,33638,High,False,False,True,False,False,True,False,False,1
Post_9,#Education,India,2169523,496078,96041,30174,Medium,False,True,False,False,False,False,False,False,1
Post_10,#Gaming,India,3898384,8634,69378,42700,Low,True,False,False,False,False,True,False,False,0
Post_11,#Comedy,Germany,4070332,379894,46012,25242,High,False,False,False,False,False,False,False,False,1
Post_12,#Music,Australia,4585669,465871,69083,8999,Medium,False,True,False,False,True,False,False,False,1
Post_13,#Viral,Canada,4105651,195560,37627,49089,High,False,False,True,False,False,True,False,False,0
Post_14,#Fitness,Japan,1633015,312907,45774,30725,High,False,False,True,False,True,False,False,False,1
Post_15,#Comedy,Germany,2471790,370802,54110,17081,High,False,True,False,True,False,False,False,False,1
Post_16,#Gaming,Canada,3079923,124237,44062,26702,Medium,False,False,True,False,False,False,False,False,0
Post_17,#Dance,UK,294870,213142,20351,20767,Low,False,True,False,False,True,False,False,False,0
Post_18,#Tech,UK,2051091,24472,54704,41737,Medium,True,False,False,False,False,True,False,False,0
Post_19,#Fashion,USA,3461154,165335,50077,19505,Low,True,False,False,True,False,False,False,False,0
Post_20,#Education,UK,3143932,298685,84720,37162,Low,False,False,True,False,False,False,True,False,1
Post_21,#Gaming,Brazil,14095,268310,90495,16968,Low,False,True,False,False,False,False,False,True,1
Post_22,#Viral,USA,3924406,35376,72832,3949,Medium,True,False,False,False,False,False,False,False,0
Post_23,#Dance,Brazil,599766,223690,22531,10538,Low,False,False,True,False,False,True,False,False,0
Post_24,#Education,Japan,4357851,449803,63438,28280,High,False,True,False,False,False,True,False,False,1
Post_25,#Dance,Germany,731492,474649,98377,3654,High,False,False,True,False,False,False,True,False,1
Post_26,#Dance,Brazil,4910814,197287,53218,14896,Low,False,False,True,False,False,False,False,False,0
Post_27,#Gaming,India,4369260,212278,21264,18172,Low,False,False,False,False,False,False,False,True,0
Post_28,#Tech,Canada,1874437,322601,35671,48768,Medium,False,False,True,True,False,False,False,False,1
Post_29,#Gaming,Canada,1653907,91836,77370,2823,Low,False,False,False,False,False,False,False,False,0
Post_30,#Education,Japan,4683280,311330,3357,5110,Medium,False,False,True,False,False,True,False,False,1
Post_31,#Comedy,Australia,1365655,156164,84930,18303,Low,False,False,False,False,True,False,False,False,0
Post_32,#Music,USA,2342195,91944,89578,44440,Medium,False,True,False,False,False,False,False,True,0
Post_33,#Gaming,USA,4977438,8731,4500,46045,Low,False,False,True,False,False,False,False,False,0
Post_34,#Viral,Australia,3005703,16688,77970,15891,Low,False,False,True,False,True,False,False,False,0
Post_35,#Education,UK,936390,368646,92202,2016,Low,False,False,True,False,False,False,True,False,1
Post_36,#Education,Japan,1855796,158156,6423,20518,High,True,False,False,False,False,False,False,False,0
Post_37,#Music,Germany,48908,205884,37256,14618,Low,False,False,False,False,True,False,False,False,0
Post_38,#Dance,India,1367820,10794,7617,36639,Medium,False,False,False,False,False,False,False,True,0
Post_39,#Gaming,USA,4499253,469481,89583,41549,High,True,False,False,False,False,True,False,False,1
Post_40,#Comedy,USA,4510477,274631,82143,13932,Low,False,True,False,True,False,False,False,False,1
Post_41,#Education,India,4380015,355402,41860,42729,High,False,True,False,False,True,False,False,False,1
Post_42,#Fashion,Australia,943395,402996,18661,11999,High,False,False,True,False,False,False,False,False,1
Post_43,#Comedy,Brazil,3961278,49656,93072,23952,Medium,False,True,False,True,False,False,False,False,0
Post_44,#Comedy,Brazil,4080112,171609,17994,41339,Medium,False,False,True,False,False,True,False,False,0
Post_45,#Comedy,Germany,3934142,380972,42858,26194,Low,False,True,False,False,False,True,False,False,1
Post_46,#Gaming,Brazil,272327,274271,56073,17526,High,False,False,False,False,False,False,True,False,1
Post_47,#Tech,Japan,1600237,325368,62818,25686,Medium,False,False,False,False,True,False,False,False,1
Post_48,#Dance,India,2212857,74624,24137,35546,Medium,False,False,False,False,False,False,False,False,0
Post_49,#Gaming,USA,4711157,313821,86074,36395,High,False,True,False,False,False,False,False,False,1
